country;population;land area;density;world economics social;life expectancy;population in employment;inequality index;air quality;water access;carbon emissions;statistical capacity index;world economics;informal economy;statistical resources;governance levels;income per capita;asset wealth per capita;mean years of schooling
Philippines;116786962;298170;392;70.8;71.916;54.7;60.9;23;48;144.25;85.2;74.2;34.2;85.2;40.2;8.6;1.5;10
Poland;38140910;306230;125;76.7;79.598;55.1;80.1;19;89;328.59;94.7;88.8;21.7;94.7;66.7;32.4;7;9
Portugal;10411834;91590;114;92.9;82.954;54;75.7;7;95;40.78;93.8;92.6;17.6;93.8;80.7;31.3;23.5;13
Qatar;3115889;11610;268;81.2;81.026;87.1;29.6;59;97;95.67;66.8;68.1;16.1;66.8;52;81.1;27.2;10
Romania;18908650;230170;82;77.2;76.776;49.5;73.2;13;82;79.33;88.6;85.5;26.8;88.6;64.6;32.6;6;10
Russia;143997393;16376870;9;75.9;73.264;58.3;71.6;9;76;1755.53;82.9;74.7;26;82.9;15.1;32.3;5.5;11
Rwanda;14569341;24670;591;52.8;70.536;81;29.2;36;60;1.76;73.1;72.8;28.9;73.1;41;2;0.4;13
Saint Kitts and Nevis;46922;260;180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saint Lucia;180149;610;295;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saint Vincent and the Grenadines;99924;390;256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Samoa;219306;2830;77;0;74.002;0;0;0;0;0;0;0;0;0;0;0;0;0
San Marino;33572;60;560;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sao Tome and Principe;240254;960;250;0;71.37;0;0;0;0;0;0;0;0;0;0;0;0;0
Saudi Arabia;34566328;2149690;16;64.4;75.974;56.1;28.2;57;100;672.38;81.5;71.4;21.4;81.5;34.3;49.4;11.1;4
Senegal;18931966;192530;98;70.5;69.354;42.9;43.4;38;27;13.59;77.2;71.6;36.8;77.2;51.6;3.6;0.4;11
Serbia;6689039;87460;76;56.6;76.746;47.8;80.8;22;75;30.85;84.4;73.7;32.2;84.4;44.6;22.2;4.7;3
Seychelles;132779;460;289;0;74.012;0;0;0;0;0;0;0;0;0;0;0;0;0
Sierra Leone;8819794;72180;122;48.6;56.62;0;45.2;39;10;1.28;61.8;62.3;38.1;61.8;46.5;1.1;0;11
Singapore;5870750;700;8387;70.8;84.314;66.1;75.8;13;100;32.5;88.8;91.3;10.6;88.8;68.8;90.1;57.7;5
