;country;population_x;land area;density;world economics social;life expectancy;population in employment;inequality index;air quality;water access;carbon emissions;statistical capacity index;world economics;informal economy;statistical resources;governance levels;income per capita;asset wealth per capita;mean years of schooling;Unnamed: 0;iso_code;year;population;gdp;cement_co2;cement_co2_per_capita;co2;co2_growth_abs;co2_growth_prct;co2_including_luc;co2_including_luc_growth_abs;co2_including_luc_growth_prct;co2_including_luc_per_capita;co2_including_luc_per_gdp;co2_including_luc_per_unit_energy;co2_per_capita;co2_per_gdp;co2_per_unit_energy;coal_co2;coal_co2_per_capita;cumulative_cement_co2;cumulative_co2;cumulative_co2_including_luc;cumulative_coal_co2;cumulative_flaring_co2;cumulative_gas_co2;cumulative_luc_co2;cumulative_oil_co2;energy_per_capita;energy_per_gdp;flaring_co2;flaring_co2_per_capita;gas_co2;gas_co2_per_capita;ghg_excluding_lucf_per_capita;ghg_per_capita;land_use_change_co2;land_use_change_co2_per_capita;methane;methane_per_capita;nitrous_oxide;nitrous_oxide_per_capita;oil_co2;oil_co2_per_capita;primary_energy_consumption;share_global_cement_co2;share_global_co2;share_global_co2_including_luc;share_global_coal_co2;share_global_cumulative_cement_co2;share_global_cumulative_co2;share_global_cumulative_co2_including_luc;share_global_cumulative_coal_co2;share_global_cumulative_flaring_co2;share_global_cumulative_gas_co2;share_global_cumulative_luc_co2;share_global_cumulative_oil_co2;share_global_flaring_co2;share_global_gas_co2;share_global_luc_co2;share_global_oil_co2;share_of_temperature_change_from_ghg;temperature_change_from_ch4;temperature_change_from_co2;temperature_change_from_ghg;temperature_change_from_n2o;total_ghg;total_ghg_excluding_lucf
148;Samoa;219306;2830;77;0;74.002;0;0;0;0;0;0;0;0;0;0;0;0;0;8728;WSM;2022;215269;5.28502E+11;0;0;0.251;0.006;2.394;0.214;-0.027;-11.272;0.992;0.937101354;1.084519033;1.168;0.389399806;0.230389568;305.6257623;1.48792303;0;7.301;15.259;17052.4864;0;4545.108843;15.757;7.301;24751.67803;1.767313535;0;0;177.0031629;1.832210367;1.463;1.942;-0.038;-0.175;0.179;0.829;0.049;0.23;0.251;1.168;2662.128098;0;0.001;0.001;3.077753354;0;0;0.001;3.313702;0;3.731023326;0.002;0.001;0;3.860033117;-0.001;0.002;0.001;0;0;0;0;0.418;0.315
149;San Marino;33572;60;560;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
150;Sao Tome and Principe;240254;960;250;0;71.37;0;0;0;0;0;0;0;0;0;0;0;0;0;8782;STP;2022;226313;825238400;0;0;0.16;0.017;11.868;0.191;0.013;7.004;0.846;0.232;1.084519033;0.706;0.194;0.230389568;305.6257623;1.48792303;0;3.762;-2.36;17052.4864;0;4545.108843;3.081;3.762;24751.67803;1.767313535;0;0;177.0031629;1.832210367;1.093;1.24;0.032;0.139;0.084;0.373;0.022;0.096;0.16;0.706;2662.128098;0;0;0;3.077753354;0;0;0;3.313702;0;3.731023326;0;0.001;0;3.860033117;0.001;0.001;0;0;0;0;0;0.281;0.247
151;Saudi Arabia;34566328;2149690;16;64.4;75.974;56.1;28.2;57;100;672.38;81.5;71.4;21.4;81.5;34.3;49.4;11.1;4;8836;SAU;2022;32175352;1.82389E+12;29.997;0.932;723.331;27.489;3.951;723.456;27.593;3.965;22.485;0.397;0.23;22.481;0.397;0.23;0.52;0.016;590.299;17579.76;17761.08;5.564;1061.458;5221.319;147.283;10701.121;86538.398;1.727;3.496;0.109;246.702;7.667;26.769;27.002;0.125;0.004;134.258;4.173;11.236;0.349;442.617;13.756;3150.761;1.873;1.94;1.772;0.003;1.261;0.991;0.687;0.001;5.476;1.992;0.018;1.737;0.867;3.126;0.004;3.716;0.784;0.005;0.008;0.013;0;868.805;861.304
152;Senegal;18931966;192530;98;70.5;69.354;42.9;43.4;38;27;13.59;77.2;71.6;36.8;77.2;51.6;3.6;0.4;11;8890;SEN;2022;17651099;51913994240;2.896;0.164;12.275;-0.035;-0.282;13.219;-0.012;-0.088;0.749;0.255;1.084519033;0.695;0.236;0.230389568;1.815;0.103;44.716;272.277;713.901;21.907;0.011;1.095;852.332;204.548;24751.67803;1.767313535;0;0;0.014;0.001;0.976;1.807;0.945;0.054;12.578;0.713;5.779;0.327;7.55;0.428;2662.128098;0.181;0.033;0.032;0.012;0.096;0.015;0.028;0.003;0;0;0.104;0.033;0;0;0.027;0.063;0.059;0;0;0.001;0;31.902;17.231
153;Serbia;6689039;87460;76;56.6;76.746;47.8;80.8;22;75;30.85;84.4;73.7;32.2;84.4;44.6;22.2;4.7;3;8944;SRB;2022;6791218;1.16835E+11;1.084;0.16;43.517;-0.167;-0.383;28.788;0.518;1.831;4.239;0.246;1.084519033;6.408;0.372;0.230389568;26.764;3.941;73.598;2894.596;3460.101;2138.958;1.061;204.13;1319.628;476.849;24751.67803;1.767313535;0.001;0;5.892;0.868;7.124;6.862;-14.729;-2.169;7.488;1.103;3.062;0.451;9.777;1.44;2662.128098;0.068;0.117;0.07;0.176;0.157;0.163;0.134;0.261;0.005;0.078;0.162;0.077;0;0.075;-0.416;0.082;0.122;0;0.001;0.002;0;46.599;48.384
154;Seychelles;132779;460;289;0;74.012;0;0;0;0;0;0;0;0;0;0;0;0;0;8998;SYC;2022;125532;3053368064;0;0;0.554;-0.058;-9.51;0.554;-0.058;-9.51;4.411;0.181;1.084519033;4.411;0.181;0.230389568;305.6257623;1.48792303;0;14.759;14.759;17052.4864;0;4545.108843;0;14.759;24751.67803;1.767313535;0;0;177.0031629;1.832210367;5.221;5.253;0;0;0.08;0.634;0.026;0.208;0.554;4.411;2662.128098;0;0.001;0.001;3.077753354;0;0.001;0.001;3.313702;0;3.731023326;0;0.002;0;3.860033117;0;0.005;0.001;0;0;0;0;0.659;0.655
155;Sierra Leone;8819794;72180;122;48.6;56.62;0;45.2;39;10;1.28;61.8;62.3;38.1;61.8;46.5;1.1;0;11;9052;SLE;2022;8276808;11681270784;0;0;1.278;0.021;1.656;8.572;-0.715;-7.703;1.036;0.734;1.084519033;0.154;0.109;0.230389568;305.6257623;1.48792303;0;39.101;1340.116;17052.4864;0;4545.108843;2816.788;38.236;24751.67803;1.767313535;0;0;177.0031629;1.832210367;0.542;1.964;7.294;0.881;6.014;0.727;1.426;0.172;1.278;0.154;2662.128098;0;0.003;0.021;3.077753354;0;0.002;0.052;3.313702;0;3.731023326;0.345;0.006;0;3.860033117;0.206;0.011;0.067;0;0.001;0.001;0;16.257;4.483
156;Singapore;5870750;700;8387;70.8;84.314;66.1;75.8;13;100;32.5;88.8;91.3;10.6;88.8;68.8;90.1;57.7;5;9106;SGP;2022;5649886;4.61801E+11;0;0;47.873;-2.227;-4.446;47.949;-2.228;-4.44;8.487;0.104;0.054;8.473;0.104;0.054;1.784;0.316;0;2141.657;2146.972;26.148;0;371.003;21.145;1744.506;147572.328;1.91;0;0;21.08;3.731;9.816;9.833;0.076;0.013;5.861;1.037;1.749;0.31;25.008;4.426;881.846;0;0.128;0.117;0.012;0;0.121;0.083;0.003;0;0.142;0.003;0.283;0;0.267;0.002;0.21;0.078;0;0.001;0.001;0;55.556;55.462
157;Slovakia;5474881;48088;114;83.3;0;56.3;100;16;99;35.32;89.8;90.9;13.7;89.8;70.5;27.5;8.4;12;9214;SVK;2022;5473194;1.5036E+11;1.49;0.272;31.55;-3.666;-10.409;31.23;-4.078;-11.551;5.706;0.208;0.174;5.765;0.21;0.175;9.926;1.814;90.75;3968.306;4405.14;2679.145;3.159;521.611;486.784;640.267;31876.369;1.196;0.057;0.01;8.886;1.624;7.013;5.464;-0.32;-0.058;5.834;1.066;3.361;0.614;10.344;1.89;179.893;0.093;0.085;0.076;0.065;0.194;0.224;0.17;0.327;0.016;0.199;0.06;0.104;0.014;0.113;-0.009;0.087;0.14;0;0.002;0.002;0;29.907;38.385
158;Slovenia;2117072;20140;105;91.9;82.162;55.4;98.1;14;98;12.57;94.2;90.5;21.9;94.2;76.3;36.9;16.1;13;9268;SVN;2022;2115230;69385347072;0.49;0.232;12.701;-0.358;-2.738;14.775;-0.576;-3.755;6.985;0.213;0.209;6.005;0.183;0.18;3.308;1.564;28.728;884.896;1173.349;382.375;5.068;71.136;383.316;391.711;33305.18;1.018;0.087;0.041;1.67;0.789;6.885;8.56;2.074;0.981;2.737;1.294;0.791;0.374;7.039;3.328;70.602;0.031;0.034;0.036;0.022;0.061;0.05;0.045;0.047;0.026;0.027;0.047;0.064;0.022;0.021;0.059;0.059;0.042;0;0.001;0.001;0;18.106;14.564
159;Solomon Islands;838645;27990;30;0;73.628;0;0;0;0;0;0;0;0;0;0;0;0;0;9322;SLB;2022;781075;5.28502E+11;0;0;0.296;0.007;2.394;5.695;0.063;1.124;7.291;0.937101354;1.084519033;0.379;0.389399806;0.230389568;305.6257623;1.48792303;0;11.006;189.186;17052.4864;0;4545.108843;196.878;11.006;24751.67803;1.767313535;0;0;177.0031629;1.832210367;0.64;3.901;5.398;6.911;0.247;0.317;0.033;0.043;0.296;0.379;2662.128098;0;0.001;0.014;3.077753354;0;0.001;0.007;3.313702;0;3.731023326;0.024;0.002;0;3.860033117;0.152;0.002;0.004;0;0;0;0;3.047;0.5
160;Somalia;19654739;627340;31;0;58.872;0;0;0;0;0;0;0;0;0;0;0;0;0;9376;SOM;2022;17801893;5.28502E+11;18.4760498;0.113079184;0.56;-0.059;-9.51;22.574;1.088;5.065;1.268;0.937101354;1.084519033;0.031;0.389399806;0.230389568;305.6257623;1.48792303;468.9268477;33.912;984.665;17052.4864;0;4545.108843;1106.745;33.807;24751.67803;1.767313535;0;0;177.0031629;1.832210367;0.519;2.527;22.014;1.237;25.408;1.427;6.363;0.357;0.56;0.031;2662.128098;2.327716372;0.002;0.055;3.077753354;2.441075737;0.002;0.038;3.313702;0;3.731023326;0.136;0.005;0;3.860033117;0.622;0.005;0.09;0.001;0;0.001;0;44.988;9.232
161;South Africa;64747319;1213090;53;65.1;65.324;35.1;2.9;20;94;435.94;82.4;78.8;24.9;82.4;61.3;11.7;2.7;13;9430;ZAF;2022;62378419;7.23559E+11;5.282;0.085;405.312;-20.606;-4.838;405.857;-20.277;-4.758;6.506;0.561;0.3;6.498;0.56;0.3;335.074;5.372;259.886;21853.264;28795.799;18856.102;4.164;206.047;7325.354;2527.064;22594.381;1.87;0.038;0.001;8.484;0.136;7.772;8.296;0.545;0.009;90.305;1.448;21.122;0.339;56.434;0.905;1353.265;0.33;1.087;0.994;2.206;0.555;1.231;1.114;2.299;0.021;0.079;0.898;0.41;0.009;0.107;0.015;0.474;1.018;0.004;0.012;0.017;0.001;517.475;484.791
162;South Korea;51667029;97230;531;93.8;83.772;60.7;86.6;24;99;616.06;91.5;89;23.3;91.5;73.4;39.7;34.7;13;9538;KOR;2022;51782514;2.13756E+12;23.409;0.452;602.092;-13.983;-2.27;586.824;-13.868;-2.309;11.332;0.275;0.166;11.627;0.282;0.17;268.099;5.177;982.958;19529.906;17044.109;8625.532;0.012;2210.432;-2470.195;7488.327;68364.156;1.657;0.006;0;126.732;2.447;12.462;12.54;-15.269;-0.295;45.351;0.876;13.443;0.26;173.664;3.354;3542.344;1.462;1.614;1.437;1.765;2.1;1.101;0.659;1.052;0;0.843;-0.303;1.215;0.002;1.606;-0.431;1.458;0.638;0.002;0.009;0.01;0;649.374;645.316
163;South Sudan;12188788;610952;20;0;59.24;38.5;0;0;0;0;0;0;0;0;0;0;0;0;9592;SSD;2022;11021175;5.28502E+11;0;0;1.588;-0.167;-9.51;11.592;-0.747;-6.052;1.052;0.937101354;1.084519033;0.144;0.389399806;0.230389568;305.6257623;1.48792303;0;42.139;1453.89;17052.4864;0;4545.108843;1946.957;42.034;24751.67803;1.767313535;0;0;177.0031629;1.832210367;0.661;6.011;10.004;0.908;37.696;3.42;21.604;1.96;1.588;0.144;2662.128098;0;0.004;0.028;3.077753354;0;0.002;0.056;3.313702;0;3.731023326;0.239;0.007;0;3.860033117;0.283;0.013;0.158;0.001;0.001;0.003;0.001;66.251;7.282
164;Spain;47889958;498800;96;89.9;84.246;49;73.6;9;100;233.65;94.3;90.6;20.2;94.3;74.2;36;32.5;11;9646;ESP;2022;47828386;1.62514E+12;7.715;0.161;234.657;5.588;2.439;224.135;6.745;3.103;4.686;0.138;0.141;4.906;0.144;0.147;17.872;0.374;712.593;15282.666;17468.969;4874.54;87.416;1721.692;2188.547;7770.929;33454.09;0.979;3.824;0.08;67.501;1.411;5.479;6.171;-10.522;-0.22;48.86;1.022;21.378;0.447;135.101;2.825;1591.031;0.482;0.629;0.549;0.118;1.523;0.861;0.676;0.594;0.451;0.657;0.268;1.261;0.949;0.855;-0.297;1.134;0.61;0.002;0.007;0.01;0.001;295.156;262.035
165;Sri Lanka;23229470;62710;370;80.7;77.892;46;40.7;24;47;20.77;80.2;70.4;36;80.2;38.1;11;2.9;11;9700;LKA;2022;22834964;2.54749E+11;1.504;0.066;19.903;-3.112;-13.522;25.591;-3.31;-11.452;1.121;0.1;0.262;0.872;0.078;0.204;6.643;0.291;27.223;539.447;2122.719;70.209;0;4545.108843;2781.129;442.014;4469.398;0.383;0;0;177.0031629;1.832210367;1.249;1.766;5.688;0.249;12.858;0.563;2.236;0.098;11.756;0.515;97.577;0.094;0.053;0.063;0.044;0.058;0.03;0.082;0.009;0;3.731023326;0.341;0.072;0;3.860033117;0.161;0.099;0.103;0.001;0.001;0.002;0;40.329;28.517
166;Sudan;51662147;1765048;29;65.4;66.518;38.5;49.7;21;60;21.03;44.7;26.5;37.1;44.7;13.2;1.7;0;11;9754;SDN;2022;49383343;5.28502E+11;1.556;0.032;20.24;-1.978;-8.904;37.97;-2.137;-5.329;0.769;0.937101354;1.084519033;0.41;0.389399806;0.230389568;305.6257623;1.48792303;22.856;488.218;2775.487;17052.4864;12.935;4545.108843;2645.841;451.137;24751.67803;1.767313535;0.399;0.008;177.0031629;1.832210367;0.838;3.008;17.729;0.359;70.539;1.428;28.131;0.57;18.285;0.37;2662.128098;0.097;0.054;0.093;3.077753354;0.049;0.028;0.107;3.313702;0.067;3.731023326;0.324;0.073;0.099;3.860033117;0.501;0.154;0.281;0.003;0.001;0.005;0.001;148.533;41.392
167;Suriname;639850;156000;4;56.1;72.386;48.7;30.7;12;56;2.78;57.2;71.1;33.2;57.2;61.4;16.1;0.8;4;9808;SUR;2022;623173;5.28502E+11;0.02;0.032;2.64;-0.003;-0.127;3.769;-0.142;-3.634;6.048;0.937101354;1.084519033;4.236;0.389399806;0.230389568;305.6257623;1.48792303;1.332;122.673;249.772;17052.4864;0.004;0.184;165.134;119.775;24751.67803;1.767313535;0.004;0.007;0.012;0.019;5.209;10.072;1.129;1.812;0.998;1.602;0.26;0.418;2.604;4.179;2662.128098;0.001;0.007;0.009;3.077753354;0.003;0.007;0.01;3.313702;0;0;0.02;0.019;0.001;0;0.032;0.022;0.01;0;0;0;0;6.277;3.246
168;Sweden;10656633;410340;26;85.5;83.618;59.2;86.4;6;100;35.83;94.4;96.7;12.6;94.4;93.1;45.2;40;10;9862;SWE;2022;10487333;4.94215E+11;1.259;0.12;37.474;-1.159;-3.001;44.298;-0.746;-1.656;4.224;0.09;0.071;3.573;0.076;0.06;6.914;0.659;113.067;5063.204;7471.72;1516.269;17.033;72.457;2409.495;3322.954;58931.953;1.258;0.012;0.001;1.55;0.148;5.018;6.672;6.823;0.651;13.064;1.246;9.959;0.95;25.997;2.479;621.694;0.079;0.1;0.108;0.046;0.242;0.285;0.289;0.185;0.088;0.028;0.295;0.539;0.003;0.02;0.193;0.218;0.244;0.001;0.003;0.004;0;69.975;52.625
169;Switzerland;8967407;39516;227;94.4;84.494;63.6;79.9;9;97;34.92;90.3;97.4;6.9;90.3;92.4;55.7;100;13;9916;CHE;2022;8792180;5.59385E+11;1.667;0.19;32.819;-2.961;-8.275;32.452;-2.928;-8.275;3.691;0.058;0.112;3.733;0.059;0.113;0.431;0.049;138.946;3092.898;3343.468;592.44;1.255;238.029;279.92;2115.091;33191.535;0.519;0.022;0.002;6.015;0.684;4.04;4.556;-0.367;-0.042;6.141;0.698;2.222;0.253;24.515;2.788;290.11;0.104;0.088;0.079;0.003;0.297;0.174;0.129;0.072;0.006;0.091;0.034;0.343;0.005;0.076;-0.01;0.206;0.11;0;0.001;0.002;0;40.056;35.523
170;Syria;25620427;183630;140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9970;SYR;2022;22462170;52353138688;0.873;0.039;25.314;-0.721;-2.768;24.759;-0.671;-2.64;1.102;0.473;1.084519033;1.127;0.484;0.230389568;0.005;0;75.369;1944.337;2403.756;0.632;129.031;303.552;529.459;1435.753;24751.67803;1.767313535;2.003;0.089;5.907;0.263;1.448;1.692;-0.555;-0.025;9.274;0.413;3.962;0.176;16.526;0.736;2662.128098;0.055;0.068;0.061;0;0.161;0.11;0.093;0;0.666;0.116;0.065;0.233;0.497;0.075;-0.016;0.139;0.115;0.001;0.001;0.002;0;38.009;32.532
171;Tajikistan;10786734;139960;77;76.5;72.128;37.2;56.2;54;55;10.33;48.6;52.7;39.6;48.6;11.7;3.2;0.4;11;10078;TJK;2022;10182229;50544009216;1.955;0.192;8.966;-0.262;-2.838;9.828;-0.182;-1.819;0.965;0.194;1.084519033;0.881;0.177;0.230389568;3.346;0.329;22.751;491.522;622.171;125.846;2.092;84.948;133.916;255.886;24751.67803;1.767313535;0;0;0.44;0.043;1.191;2.045;0.862;0.085;7.976;0.783;2.482;0.244;3.224;0.317;2662.128098;0.122;0.024;0.024;0.022;0.049;0.028;0.024;0.015;0.011;0.032;0.016;0.042;0;0.006;0.024;0.027;0.039;0;0;0.001;0;20.827;12.124
172;Tanzania;70545865;885800;80;38.1;66.942;81.1;35.2;15;11;13.04;69.9;66.9;45.1;69.9;39.3;2.8;0.3;6;10132;TZA;2022;64711821;1.9822E+11;2.519;0.039;17.736;-0.531;-2.905;61.4;-3.177;-4.919;0.949;0.31;1.084519033;0.274;0.089;0.230389568;2.276;0.035;31.74;304.427;7537.078;18.052;0.009;37.755;9413.669;216.872;24751.67803;1.767313535;0;0;3.687;0.057;0.666;3.198;43.665;0.675;64.186;0.992;24.815;0.383;9.254;0.143;2662.128098;0.157;0.048;0.15;0.015;0.068;0.017;0.291;0.002;0;0.014;1.154;0.035;0;0.047;1.233;0.078;0.392;0.002;0.004;0.006;0.001;206.951;43.112
173;Thailand;71619863;510890;140;78.1;78.1;65.8;72.6;25;100;278.5;81.1;63.8;42.7;81.1;38.1;18.8;3.5;9;10186;THA;2022;71735320;1.12414E+12;20.995;0.293;272.573;5.432;2.033;306.364;4.502;1.492;4.271;0.273;0.221;3.8;0.242;0.196;69.809;0.973;646.805;7775.825;24018.863;1743.417;13.687;1859.259;21076.354;3512.657;19357.754;1.235;0.409;0.006;75.532;1.053;4.606;5.943;33.791;0.471;108.464;1.512;24.322;0.339;105.828;1.475;1387.893;1.311;0.731;0.75;0.46;1.382;0.438;0.929;0.213;0.071;0.709;2.583;0.57;0.101;0.957;0.954;0.889;0.917;0.005;0.01;0.015;0.001;426.32;330.449
174;Timor-Leste;1418517;14870;95;0;70.548;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
175;Togo;9721608;54390;179;40.4;62.674;55.1;33.4;25;19;2.34;66.1;69;31.4;66.1;35.8;1.8;0.1;5;10240;TGO;2022;9089742;14265659392;0.92;0.101;2.682;0.012;0.444;3.003;-0.043;-1.404;0.33;0.21;1.084519033;0.295;0.188;0.230389568;305.6257623;1.48792303;21.953;71.156;413.567;17052.4864;0;1.122;762.341;48.08;24751.67803;1.767313535;0;0;0.235;0.026;0.855;1.283;0.32;0.035;6.472;0.712;1.838;0.202;1.527;0.168;2662.128098;0.057;0.007;0.007;3.077753354;0.047;0.004;0.016;3.313702;0;0;0.093;0.008;0;0.003;0.009;0.013;0.027;0;0;0;0;11.665;7.768
176;Tonga;103742;720;144;0;71.538;0;0;0;0;0;0;0;0;0;0;0;0;0;10294;TON;2022;105053;5.28502E+11;0;0;0.195;0.005;2.394;0.216;0.001;0.553;2.06;0.937101354;1.084519033;1.857;0.389399806;0.230389568;305.6257623;1.48792303;0;4.793;7.615;17052.4864;0;4545.108843;3.719;4.793;24751.67803;1.767313535;0;0;177.0031629;1.832210367;2.23;3.092;0.021;0.203;0.099;0.943;0.023;0.224;0.195;1.857;2662.128098;0;0.001;0.001;3.077753354;0;0;0;3.313702;0;3.731023326;0;0.001;0;3.860033117;0.001;0.002;0.001;0;0;0;0;0.325;0.234
177;Trinidad and Tobago;1511155;5130;295;80.5;74.158;54.3;30.7;36;99;36.13;56.1;69.9;29.4;56.1;59.9;24.8;6.8;12;10348;TTO;2022;1495922;37513383936;0.282;0.189;36.306;-0.107;-0.294;36.087;-0.088;-0.242;24.124;0.962;0.209;24.27;0.968;0.21;305.6257623;1.48792303;13.3;1640.235;1626.522;17052.4864;106.976;1087.196;70.977;432.533;113031.766;4.613;0.299;0.2;32.424;21.675;34.853;34.942;-0.219;-0.146;14.755;9.864;1.372;0.917;3.301;2.206;173.056;0.018;0.097;0.088;3.077753354;0.028;0.092;0.063;3.313702;0.552;0.415;0.009;0.07;0.074;0.411;-0.006;0.028;0.097;0.001;0.001;0.002;0;52.27;52.137
178;Tunisia;12348573;155360;79;69.6;77.724;38.2;58.2;10;74;31.58;75.8;66.9;34.7;75.8;46.9;9.9;2.5;7;10402;TUN;2022;12119336;1.29458E+11;4.245;0.35;31.948;0.781;2.505;33.329;1.111;3.449;2.75;0.257;1.084519033;2.636;0.247;0.230389568;305.6257623;1.48792303;132.696;988.716;1471.578;17052.4864;18.537;282.848;581.245;540.033;24751.67803;1.767313535;0.525;0.043;12.644;1.043;3.361;3.774;1.381;0.114;10.012;0.826;3.409;0.281;14.535;1.199;2662.128098;0.265;0.086;0.082;3.077753354;0.284;0.056;0.057;3.313702;0.096;0.108;0.071;0.088;0.13;0.16;0.039;0.122;0.073;0;0.001;0.001;0;45.735;40.738
179;Turkey;87685426;769630;114;75.2;78.89;43.5;50.2;27;97;446.2;86.7;77.5;29.5;86.7;30.5;27.6;2.1;9;10456;TUR;2022;87058470;2.386E+12;38.253;0.439;437.305;-15.397;-3.401;405.995;-15.934;-3.776;4.663;0.17;0.206;5.023;0.183;0.222;168.425;1.935;950.764;11788.396;17702.043;4807.845;5.805;1881.359;6136.908;3994.198;23108.615;0.827;0.21;0.002;98.903;1.136;6.407;6.966;-31.311;-0.36;120.409;1.383;59.588;0.684;125.125;1.437;1972.118;2.389;1.173;0.994;1.109;2.032;0.664;0.685;0.586;0.03;0.718;0.752;0.648;0.052;1.253;-0.884;1.051;0.666;0.003;0.006;0.011;0.001;606.481;557.744
180;Turkmenistan;7618847;469930;16;75.8;68.874;43.5;40.9;26;95;82.99;30.7;59.3;34.4;30.7;5.8;10.3;2.1;11;10510;TKM;2022;7230198;97502945280;0.801;0.111;64.154;0.72;1.135;64.051;0.753;1.189;8.859;0.657;0.141;8.873;0.658;0.142;0;0;36.574;2505.368;2679.05;80.131;77.914;1315.57;176.886;995.179;70412.789;4.644;2.011;0.278;42.736;5.911;15.057;16.96;-0.103;-0.014;50.451;6.978;6.293;0.87;18.605;2.573;452.809;0.05;0.172;0.157;0;0.078;0.141;0.104;0.01;0.402;0.502;0.022;0.162;0.499;0.541;-0.003;0.156;0.221;0.002;0.002;0.004;0;122.627;108.866
181;Tuvalu;9492;30;316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
182;Uganda;51384894;199810;257;36.4;64.964;65.6;27.9;31;19;5.79;72;68.8;32.1;72;30.2;1.8;0.2;6;10564;UGA;2022;47312718;1.01995E+11;0.628;0.013;5.638;-0.529;-8.582;9.008;-0.78;-7.97;0.19;0.088;1.084519033;0.119;0.055;0.230389568;0;0;9.035;118.233;2322.098;0;0;4545.108843;3049.778;109.198;24751.67803;1.767313535;0;0;177.0031629;1.832210367;0.545;1.363;3.37;0.071;36.858;0.779;12.013;0.254;5.01;0.106;2662.128098;0.039;0.015;0.022;0;0.019;0.007;0.09;0;0;3.731023326;0.374;0.018;0;3.860033117;0.095;0.042;0.162;0.001;0.001;0.003;0;64.508;25.8
183;Ukraine;38980376;579320;67;77.7;72.776;50.2;94.5;14;88;201.85;78.7;74.7;43.4;78.7;45.8;14.1;3.3;11;10618;UKR;2022;41048767;3.09167E+11;4.339;0.106;141.126;-69.027;-32.846;143.127;-69.517;-32.692;3.487;0.463;0.222;3.438;0.456;0.218;59.279;1.444;405.28;30942.721;44322.395;17124.982;173.094;6347.123;13749.685;6774.528;16272.95;2.09;2.253;0.055;40.1;0.977;4.586;5.34;2.001;0.049;51.662;1.259;25.731;0.627;32.279;0.786;646.065;0.271;0.378;0.351;0.39;0.866;1.744;1.714;2.088;0.893;2.421;1.685;1.1;0.559;0.508;0.057;0.271;1.363;0.003;0.018;0.022;0.001;219.192;188.23
184;United Arab Emirates;11346000;83600;136;89.2;78.744;73.9;68.5;42;100;204.08;77.6;80.2;23.2;77.6;43.9;52.5;23.7;13;10672;ARE;2022;10242085;7.79702E+11;5.239;0.512;225.977;9.746;4.507;225.952;9.75;4.51;22.061;0.29;0.167;22.064;0.29;0.167;9.09;0.888;152.71;5432.666;5434.101;92.039;430.229;3129.156;1.042;1628.532;143594.344;1.739;1.743;0.17;125.779;12.281;27.174;27.351;-0.025;-0.002;51.869;5.064;2.656;0.259;84.126;8.214;1355.694;0.327;0.606;0.553;0.06;0.326;0.306;0.21;0.011;2.219;1.194;0;0.264;0.433;1.594;-0.001;0.706;0.268;0.002;0.002;0.004;0;280.134;278.316
185;United Kingdom;69551332;241930;287;93.2;82.062;59.7;78.3;10;100;346.76;88.9;94.4;10.8;88.9;84.6;37.2;42.9;13;10726;GBR;2022;68179315;2.61523E+12;4.073;0.06;313.835;-30.675;-8.904;323.598;-30.761;-8.681;4.746;0.124;0.16;4.603;0.12;0.155;19.666;0.288;527.935;79472.555;79101.812;56876.949;293.674;7317.643;3219.332;14338.566;29904.859;0.772;3.192;0.047;134.872;1.978;5.001;5.9;9.763;0.143;48.961;0.718;29.541;0.433;149.52;2.193;2018.845;0.254;0.842;0.792;0.129;1.128;4.478;3.059;6.935;1.515;2.791;0.395;2.327;0.792;1.709;0.276;1.255;2.437;0.003;0.035;0.04;0.002;402.284;340.945
186;United States;347275807;9147420;38;90.5;79.398;57.4;59.9;7;98;5007.33;93.4;94.3;7.3;93.4;74.2;48.5;74.9;14;10780;USA;2022;341534041;1.94932E+13;41.418;0.121;5078.871;46.658;0.927;5181.144;55.302;1.079;15.17;0.266;0.195;14.871;0.261;0.192;942.357;2.759;2837.357;426941.344;554289.312;176372.391;2449.554;80314.203;127518.195;163519.672;78347.914;1.36;63.294;0.185;1748.499;5.12;16.544;17.764;102.273;0.299;695.298;2.036;249.715;0.731;2258.467;6.613;26504.305;2.587;13.619;12.688;6.205;6.063;24.059;21.435;21.507;12.636;30.634;15.63;26.54;15.705;22.153;2.888;18.963;17.356;0.035;0.239;0.285;0.011;6067.148;5650.342
